SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M
pHFC_S.pB10-low,102,-0.19999999999999973,-0.36000000000000004,1.0158413246131116e-14,-0.07000000000000006
pHFC_S.pB10-low,103,0,-0.36000000000000004,1.61e-14,-0.07000000000000006
pHFC_S.pB10-low,104,0.20000000000000018,-0.36000000000000004,2.5516780398623934e-14,-0.07000000000000006
pHFC_S.pB10-low,105,0.40000000000000036,-0.36000000000000004,4.0441371547304276e-14,-0.07000000000000006
pHFC_S.pB10-low,106,0.6000000000000005,-0.36000000000000004,6.409525445911313e-14,-0.07000000000000006
pHFC_S.pB10-low,107,0.8000000000000007,-0.36000000000000004,1.0158413246131127e-13,-0.07000000000000006
pHFC_S.pB10-low,108,1,-0.36000000000000004,1.61e-13,-0.07000000000000006
pHFC_S.pB10-low,109,1.2000000000000002,-0.36000000000000004,2.5516780398623937e-13,-0.07000000000000006
pHFC_S.pB10-low,110,1.4000000000000004,-0.36000000000000004,4.044137154730427e-13,-0.07000000000000006
pHFC_S.pB10-low,111,1.6000000000000005,-0.36000000000000004,6.409525445911314e-13,-0.07000000000000006
pHFC_S.pB10-low,112,1.8000000000000007,-0.36000000000000004,1.0158413246131127e-12,-0.07000000000000006
pHFC_S.pB10-low,113,2,-0.36000000000000004,1.6099999999999998e-12,-0.07000000000000006
pHFC_S.pB10-low,114,2.2,-0.36000000000000004,2.551678039862394e-12,-0.07000000000000006
pHFC_S.pB10-low,115,2.4000000000000004,-0.36000000000000004,4.044137154730427e-12,-0.07000000000000006
pHFC_S.pB10-low,116,2.6000000000000005,-0.36000000000000004,6.409525445911313e-12,-0.07000000000000006
pHFC_S.pB10-low,117,2.8000000000000007,-0.36000000000000004,1.0158413246131126e-11,-0.07000000000000006
pHFC_S.pB10-low,118,3,-0.36000000000000004,1.6099999999999998e-11,-0.07000000000000006
pHFC_S.pB10-low,119,3.2,-0.36000000000000004,2.5516780398623935e-11,-0.07000000000000006
pHFC_S.pB10-low,120,3.4000000000000004,-0.36000000000000004,4.0441371547304267e-11,-0.07000000000000006
pHFC_S.pB10-low,121,3.6000000000000005,-0.36000000000000004,6.409525445911314e-11,-0.07000000000000006
pHFC_S.pB10-low,122,3.8000000000000007,-0.36000000000000004,1.0158413246131128e-10,-0.07000000000000006
pHFC_S.pB10-low,123,4,-0.36000000000000004,1.6099999999999999e-10,-0.07000000000000006
pHFC_S.pB10-low,124,-4,-0.34,1.61e-18,-0.050000000000000044
pHFC_S.pB10-low,125,-3.8,-0.34,2.5516780398623938e-18,-0.050000000000000044
pHFC_S.pB10-low,126,-3.6,-0.34,4.044137154730423e-18,-0.050000000000000044
pHFC_S.pB10-low,127,-3.4,-0.34,6.409525445911307e-18,-0.050000000000000044
pHFC_S.pB10-low,128,-3.2,-0.34,1.0158413246131107e-17,-0.050000000000000044
pHFC_S.pB10-low,129,-3,-0.34,1.61e-17,-0.050000000000000044
pHFC_S.pB10-low,130,-2.8,-0.34,2.5516780398623936e-17,-0.050000000000000044
pHFC_S.pB10-low,131,-2.5999999999999996,-0.34,4.044137154730427e-17,-0.050000000000000044
pHFC_S.pB10-low,132,-2.4,-0.34,6.409525445911307e-17,-0.050000000000000044
pHFC_S.pB10-low,133,-2.2,-0.34,1.0158413246131107e-16,-0.050000000000000044
pHFC_S.pB10-low,134,-2,-0.34,1.61e-16,-0.050000000000000044
pHFC_S.pB10-low,135,-1.7999999999999998,-0.34,2.5516780398623935e-16,-0.050000000000000044
pHFC_S.pB10-low,136,-1.5999999999999996,-0.34,4.0441371547304273e-16,-0.050000000000000044
pHFC_S.pB10-low,137,-1.4,-0.34,6.409525445911307e-16,-0.050000000000000044
pHFC_S.pB10-low,138,-1.1999999999999997,-0.34,1.0158413246131116e-15,-0.050000000000000044
pHFC_S.pB10-low,139,-1,-0.34,1.61e-15,-0.050000000000000044
pHFC_S.pB10-low,140,-0.7999999999999998,-0.34,2.551678039862394e-15,-0.050000000000000044
pHFC_S.pB10-low,141,-0.5999999999999996,-0.34,4.044137154730427e-15,-0.050000000000000044
pHFC_S.pB10-low,142,-0.3999999999999999,-0.34,6.409525445911306e-15,-0.050000000000000044
pHFC_S.pB10-low,143,-0.19999999999999973,-0.34,1.0158413246131116e-14,-0.050000000000000044
pHFC_S.pB10-low,144,0,-0.34,1.61e-14,-0.050000000000000044
pHFC_S.pB10-low,145,0.20000000000000018,-0.34,2.5516780398623934e-14,-0.050000000000000044
